"data_type","owner","template","submit_path","frequency","enhanced_reports","impact_if_missing","related_task","required_fields"
"产品素材与关键词","老板/管理层","WIKA_产品优化工单.csv / WIKA_关键词优化矩阵.csv","WIKA/docs/tasks/input-inbox/received/","本周 P1 产品先补，之后随产品上新更新","产品优化工单、新品开发建议表、关键词优化矩阵","产品优化只能停在建议层，无法进入可执行改版工单","MGMT-P1-001","管理层确认本周资源优先级；确认产品运营、销售/跟单、店铺运营负责人"
"广告导出数据","运营负责人","WIKA_直通车数据导入模板.csv","WIKA/docs/tasks/input-inbox/received/","每周一次，周报前提交","广告分析报告、运营周报、运营任务总看板","无法判断真实花费、点击、询盘和投放调整优先级","ADS-P1-001","缺真实广告导出样本；date；campaign_name；ad_group_name；keyword；spend；impressions；clicks；inquiries"
"运营执行确认","运营负责人","WIKA_人工补数责任表.csv","WIKA/docs/tasks/input-inbox/received/","本周内补齐，后续按复盘节奏更新","运营负责人周计划、任务总看板","任务无法关闭，下一轮报告仍会标记等待输入","OPS-P1-001","本周团队可用人力；各角色负责人名单；本周可执行时间窗口"
"页面人工盘点","店铺运营","WIKA_页面人工盘点表.csv","WIKA/docs/tasks/input-inbox/received/","每周一次，页面调整前后各一次","主页转化优化清单、经营诊断报告、店铺运营每日检查表","首页和详情页建议只能保持保守，不能形成强页面结论","PAGE-P1-001","缺页面人工盘点输入；首页模块；主 banner；重点类目入口；询盘入口；B2B 信任信息；当前观察问题"
"运营执行确认","店铺运营","WIKA_人工补数责任表.csv","WIKA/docs/tasks/input-inbox/received/","本周内补齐，后续按复盘节奏更新","运营负责人周计划、任务总看板","任务无法关闭，下一轮报告仍会标记等待输入","STORE-P1-001","每日检查人；异常记录表；需要人工确认的异常阈值"
"产品素材与关键词","产品运营","WIKA_产品优化工单.csv / WIKA_关键词优化矩阵.csv","WIKA/docs/tasks/input-inbox/received/","本周 P1 产品先补，之后随产品上新更新","产品优化工单、新品开发建议表、关键词优化矩阵","产品优化只能停在建议层，无法进入可执行改版工单","PROD-P1-001","产品规格；材质；MOQ；定制能力；主图；详情图；视频素材"
"销售/跟单确认字段","销售/跟单","WIKA_询盘回复字段补齐表.csv","WIKA/docs/tasks/input-inbox/received/","每次询盘或订单草稿前","询盘跟进SOP、销售跟单使用清单、订单机会分析表","reply/order 草稿无法进入人工确认后的实际发送或创单","SALES-P1-001","最终报价；交期；样品政策；买家信息；订单字段"
"销售/跟单确认字段","人工接手人员","WIKA_询盘回复字段补齐表.csv","WIKA/docs/tasks/input-inbox/received/","每次询盘或订单草稿前","询盘跟进SOP、销售跟单使用清单、订单机会分析表","reply/order 草稿无法进入人工确认后的实际发送或创单","HANDOFF-P1-001","报价；交期；样品安排；买家联系人；订单备注"
"广告导出数据","运营负责人","WIKA_直通车数据导入模板.csv","WIKA/docs/tasks/input-inbox/received/","每周一次，周报前提交","广告分析报告、运营周报、运营任务总看板","无法判断真实花费、点击、询盘和投放调整优先级","ADS-P2-001","缺稳定广告导入承接节奏；每周广告导出；字段映射说明；导入责任人"
"运营执行确认","运营负责人","WIKA_人工补数责任表.csv","WIKA/docs/tasks/input-inbox/received/","本周内补齐，后续按复盘节奏更新","运营负责人周计划、任务总看板","任务无法关闭，下一轮报告仍会标记等待输入","OPS-P2-001","每周报告生成时间；任务负责人；复盘时间"
"运营执行确认","店铺运营","WIKA_人工补数责任表.csv","WIKA/docs/tasks/input-inbox/received/","本周内补齐，后续按复盘节奏更新","运营负责人周计划、任务总看板","任务无法关闭，下一轮报告仍会标记等待输入","PAGE-P2-001","问题截图；整改建议；负责人；完成时间"
"页面人工盘点","店铺运营","WIKA_页面人工盘点表.csv","WIKA/docs/tasks/input-inbox/received/","每周一次，页面调整前后各一次","主页转化优化清单、经营诊断报告、店铺运营每日检查表","首页和详情页建议只能保持保守，不能形成强页面结论","STORE-P2-001","页面截图或盘点记录；模块名称；问题描述；建议动作"
"运营执行确认","产品运营","WIKA_人工补数责任表.csv","WIKA/docs/tasks/input-inbox/received/","本周内补齐，后续按复盘节奏更新","运营负责人周计划、任务总看板","任务无法关闭，下一轮报告仍会标记等待输入","PROD-P2-001","主图；细节图；应用场景图；视频；详情页结构"
