"platform","phase","module","endpoint","method","auth_profile","expected_scope","known_required_params","pagination_rule","date_window_rule","prior_status","source_of_truth","execution_mode","round1_status_code","round1_error_code","round1_response_shape_summary","round1_elapsed_ms","round1_final_classification","round2_status_code","round2_error_code","round2_response_shape_summary","round2_elapsed_ms","round2_final_classification","round3_status_code","round3_error_code","round3_response_shape_summary","round3_elapsed_ms","round3_final_classification","final_classification","root_cause_hypothesis","next_action"
"WIKA","stage22","runtime","/health","GET","standard","service_health","","n/a","n/a","validated_route","app.js + stage21 PASS_BASE","production_replay","200","","text=ok","473","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","runtime","/integrations/alibaba/auth/debug","GET","standard","wika_oauth_runtime","","n/a","n/a","validated_route","app.js + stage21 PASS_BASE","production_replay","200","","json_keys=app_base_url|session_secret_present|state_ttl_seconds|active_state_count|wika_client_id_present|wika_client_secret_present|wika_redirect_uri|wika_auth_url|wika_token_url|wika_refresh_token_url|wika_partner_id_present|wika_auto_refresh_enabled","488","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","runtime","/integrations/alibaba/auth/start","GET","standard","wika_oauth_entry","","n/a","n/a","validated_route","validated-flow.md + app.js","production_replay","302","","text=Found. Redirecting to https://open-api.alibaba.com/oauth/authorize?response_type=code&force_auth=true&redirect_uri=https","304","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","runtime","/integrations/alibaba/callback","GET","standard","wika_oauth_callback","code,state","n/a","n/a","validated_route","validated-flow.md + app.js","production_replay","400","","text=Missing code","318","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","products","/integrations/alibaba/wika/data/products/list","GET","standard","wika_products_read","","page_size optional","n/a","validated_route","已上线能力复用清单 + app.js","production_replay","200","","json_keys=ok|module|account|read_only|verification_status|evidence_level|source|request|response_meta|verified_fields|items|raw_root_key; ok=true","992","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","products","/integrations/alibaba/wika/data/products/score","GET","standard","wika_products_read","product_id","n/a","n/a","validated_route","已上线能力复用清单 + app.js","production_replay","200","","json_keys=ok|account|module|read_only|verification_status|evidence_level|data_scope|source|request_meta|response_meta|verified_fields|warnings; ok=true","1030","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","products","/integrations/alibaba/wika/data/products/detail","GET","standard","wika_products_read","product_id","n/a","n/a","validated_route","已上线能力复用清单 + app.js","production_replay","200","","json_keys=ok|account|module|read_only|verification_status|evidence_level|data_scope|source|request_meta|response_meta|verified_fields|warnings; ok=true","939","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","products","/integrations/alibaba/wika/data/products/groups","GET","standard","wika_products_read","group_id","n/a","n/a","validated_route","已上线能力复用清单 + app.js","production_replay","200","","json_keys=ok|account|module|read_only|verification_status|evidence_level|data_scope|source|request_meta|response_meta|verified_fields|warnings; ok=true","855","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","categories","/integrations/alibaba/wika/data/categories/tree","GET","standard","wika_categories_read","","n/a","n/a","validated_route","已上线能力复用清单 + app.js","production_replay","200","","json_keys=ok|account|module|read_only|verification_status|evidence_level|data_scope|source|request_meta|response_meta|verified_fields|warnings; ok=true","938","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
"WIKA","stage22","categories","/integrations/alibaba/wika/data/categories/attributes","GET","standard","wika_categories_read","cat_id","n/a","n/a","validated_route","已上线能力复用清单 + app.js","production_replay","200","","json_keys=ok|account|module|read_only|verification_status|evidence_level|data_scope|source|request_meta|response_meta|verified_fields|warnings; ok=true","1499","RECONFIRMED","","","","","","","","","","","RECONFIRMED","","none"
