"platform","phase","module","endpoint_or_method","auth_profile","expected_scope","request_param_summary","status_code","error_code","response_shape_summary","elapsed_ms","retry_count","final_classification","root_cause_hypothesis","next_action"
"XD","stage22","metrics","alibaba.mydata.overview.date.get","standard","xd_mydata_read","{}","200","InsufficientPermission","{""content_type"":""application/json"",""top_keys"":[""error_response""],""error_response"":{""type"":""ISV"",""code"":""InsufficientPermission"",""msg"":""App does not have permission to access this api"",""request_id"":""213cf19c17757975287313264"",""_trace_id_"":""2131137617757975287291281e0e31""}}","","0","PERMISSION_DENIED","standard_scope_denied_at_interface_level","record_permission_gap"
"XD","stage22","metrics","alibaba.mydata.overview.industry.get","standard","xd_mydata_read","{""date_range"":{""start_date"":""2026-03-11"",""end_date"":""2026-04-09""}}","200","InsufficientPermission","{""content_type"":""application/json"",""top_keys"":[""error_response""],""error_response"":{""type"":""ISV"",""code"":""InsufficientPermission"",""msg"":""App does not have permission to access this api"",""request_id"":""213c4daa17757975287883197"",""_trace_id_"":""2131137617757975287851283e0e31""}}","","0","PERMISSION_DENIED","standard_scope_denied_at_interface_level","record_permission_gap"
"XD","stage22","metrics","alibaba.mydata.overview.indicator.basic.get","standard","xd_mydata_read","{""date_range"":{""start_date"":""2026-03-11"",""end_date"":""2026-04-09""}}","200","MissingParameter","{""content_type"":""application/json"",""top_keys"":[""error_response""],""error_response"":{""type"":""ISV"",""code"":""MissingParameter"",""msg"":""The input parameter “industry” that is mandatory for processing this request is not supplied"",""request_id"":""213cf6b617757975288152119"",""_trace_id_"":""2131137617757975288131284e0e31""}}","","0","PARAM_MISSING","documented_parameters_still_insufficient_or_invalid","inspect_documented_param_contract"
"XD","stage22","metrics","alibaba.mydata.self.product.date.get","standard","xd_mydata_read","{""statistics_type"":""day""}","200","InsufficientPermission","{""content_type"":""application/json"",""top_keys"":[""error_response""],""error_response"":{""type"":""ISV"",""code"":""InsufficientPermission"",""msg"":""App does not have permission to access this api"",""request_id"":""0bb2a0f317757975288486963"",""_trace_id_"":""2131137617757975288461285e0e31""}}","","0","PERMISSION_DENIED","standard_scope_denied_at_interface_level","record_permission_gap"
"XD","stage22","metrics","alibaba.mydata.self.product.get","standard","xd_mydata_read","{""statistics_type"":""day"",""stat_date"":""2026-04-09"",""product_ids"":1601740545697}","200","InsufficientPermission","{""content_type"":""application/json"",""top_keys"":[""error_response""],""error_response"":{""type"":""ISV"",""code"":""InsufficientPermission"",""msg"":""App does not have permission to access this api"",""request_id"":""0b51802d17757975288825695"",""_trace_id_"":""2131137617757975288791286e0e31""}}","","0","PERMISSION_DENIED","standard_scope_denied_at_interface_level","record_permission_gap"
"XD","stage22","orders","alibaba.seller.order.get","standard","xd_orders_read","{""e_trade_id"":""298***191""}","200","","{""content_type"":""application/json"",""top_keys"":[""alibaba_seller_order_get_response""],""error_response"":null}","","0","PASSED","","keep_standard_validation_record"
"XD","stage22","orders","alibaba.seller.order.fund.get","standard","xd_orders_read","{""e_trade_id"":""298***191"",""data_select"":""fund_serviceFee,fund_fundPay""}","200","","{""content_type"":""application/json"",""top_keys"":[""alibaba_seller_order_fund_get_response""],""error_response"":null}","","0","PASSED","","keep_standard_validation_record"
"XD","stage22","orders","alibaba.seller.order.logistics.get","standard","xd_orders_read","{""e_trade_id"":""298***191"",""data_select"":""logistic_order""}","200","","{""content_type"":""application/json"",""top_keys"":[""alibaba_seller_order_logistics_get_response""],""error_response"":null}","","0","PASSED","","keep_standard_validation_record"
"XD","stage23","metrics","alibaba.mydata.overview.date.get","standard","xd_mydata_read","{}","200","InsufficientPermission","{""top_keys"":[""error_response""],""error_response"":{""code"":""InsufficientPermission"",""sub_code"":null,""msg"":""App does not have permission to access this api"",""sub_msg"":null}}","77","0","PERMISSION_DENIED","permission_gap_confirmed_standard_scope","record_permission_gap_confirmed"
"XD","stage23","metrics","alibaba.mydata.overview.industry.get","standard","xd_mydata_read","{""date_range"":{""start_date"":""2026-03-11"",""end_date"":""2026-04-09""}}","200","InsufficientPermission","{""top_keys"":[""error_response""],""error_response"":{""code"":""InsufficientPermission"",""sub_code"":null,""msg"":""App does not have permission to access this api"",""sub_msg"":null}}","52","0","PERMISSION_DENIED","permission_gap_confirmed_standard_scope","record_permission_gap_confirmed"
"XD","stage23","metrics","alibaba.mydata.self.product.date.get","standard","xd_mydata_read","{""statistics_type"":""day""}","200","InsufficientPermission","{""top_keys"":[""error_response""],""error_response"":{""code"":""InsufficientPermission"",""sub_code"":null,""msg"":""App does not have permission to access this api"",""sub_msg"":null}}","28","0","PERMISSION_DENIED","permission_gap_confirmed_standard_scope","record_permission_gap_confirmed"
"XD","stage23","metrics","alibaba.mydata.self.product.get","standard","xd_mydata_read","{""statistics_type"":""day"",""stat_date"":""2026-04-09"",""product_ids"":1601740545697}","200","InsufficientPermission","{""top_keys"":[""error_response""],""error_response"":{""code"":""InsufficientPermission"",""sub_code"":null,""msg"":""App does not have permission to access this api"",""sub_msg"":null}}","49","0","PERMISSION_DENIED","permission_gap_confirmed_standard_scope","record_permission_gap_confirmed"
"XD","stage23","metrics","alibaba.mydata.overview.indicator.basic.get","standard","xd_mydata_read","{""date_range"":{""start_date"":""2026-03-11"",""end_date"":""2026-04-09""},""industry"":{""industry_id"":111,""industry_desc"":""All"",""main_category"":true}}","200","InsufficientPermission","{""top_keys"":[""error_response""],""error_response"":{""code"":""InsufficientPermission"",""sub_code"":null,""msg"":""App does not have permission to access this api"",""sub_msg"":null}}","35","1","PERMISSION_DENIED","documented_industry_param_reaches_permission_layer","record_indicator_permission_evidence"
"XD","stage23","orders","alibaba.seller.order.get","standard","xd_orders_read","{""e_trade_id"":""298***191""}","200",,"{""top_keys"":[""alibaba_seller_order_get_response""],""error_response"":null}","350","0","PASSED","sanity_control_still_passed","keep_as_control"
"XD","stage24","metrics","alibaba.mydata.overview.date.get","standard","xd_mydata_read","{}","","","","","0","0","AWAITING_EXTERNAL_PERMISSION_ACTION","no_external_permission_change_and_no_elevated_allow","wait_external_permission_action"
"XD","stage24","metrics","alibaba.mydata.overview.industry.get","standard","xd_mydata_read","{""date_range"":{""start_date"":""2026-03-11"",""end_date"":""2026-04-09""}}","","","","","0","0","AWAITING_EXTERNAL_PERMISSION_ACTION","no_external_permission_change_and_no_elevated_allow","wait_external_permission_action"
"XD","stage24","metrics","alibaba.mydata.self.product.date.get","standard","xd_mydata_read","{""statistics_type"":""day""}","","","","","0","0","AWAITING_EXTERNAL_PERMISSION_ACTION","no_external_permission_change_and_no_elevated_allow","wait_external_permission_action"
"XD","stage24","metrics","alibaba.mydata.self.product.get","standard","xd_mydata_read","{""statistics_type"":""day"",""stat_date"":""2026-04-09"",""product_ids"":1601740545697}","","","","","0","0","AWAITING_EXTERNAL_PERMISSION_ACTION","no_external_permission_change_and_no_elevated_allow","wait_external_permission_action"
"XD","stage24","metrics","alibaba.mydata.overview.indicator.basic.get","standard","xd_mydata_read","{""date_range"":{""start_date"":""2026-03-11"",""end_date"":""2026-04-09""},""industry"":{""industry_id"":111,""industry_desc"":""All"",""main_category"":true}}","","","","","0","0","AWAITING_EXTERNAL_PERMISSION_ACTION","no_external_permission_change_and_no_elevated_allow","wait_external_permission_action"
