platform,phase,module,endpoint,method,auth_profile,expected_scope,known_required_params,pagination_rule,date_window_rule,prior_status,source_of_truth,execution_mode,round1_status_code,round1_error_code,round1_response_shape_summary,round1_elapsed_ms,round1_final_classification,round2_status_code,round2_error_code,round2_response_shape_summary,round2_elapsed_ms,round2_final_classification,round3_status_code,round3_error_code,round3_response_shape_summary,round3_elapsed_ms,round3_final_classification,final_classification,root_cause_hypothesis,next_action
WIKA,stage20_phase1,runtime,/health,GET,standard,service_health,,n/a,n/a,historically_validated,README.md + app.js,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,runtime,/integrations/alibaba/auth/debug,GET,standard,wika_oauth_runtime,,n/a,n/a,historically_validated,projects/wika/access/validated-flow.md + app.js,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,runtime,/integrations/alibaba/auth/start,GET,standard,wika_oauth_entry,,n/a,n/a,historically_validated,README.md + projects/wika/access/validated-flow.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,runtime,/integrations/alibaba/callback,GET,standard,wika_oauth_callback,code | state,n/a,n/a,historically_validated,README.md + projects/wika/access/validated-flow.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,products,/integrations/alibaba/wika/data/products/list,GET,standard,wika_products_read,,page_size optional; paged list reads,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,products,/integrations/alibaba/wika/data/products/score,GET,standard,wika_products_read,product_id,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,products,/integrations/alibaba/wika/data/products/detail,GET,standard,wika_products_read,product_id,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,products,/integrations/alibaba/wika/data/products/groups,GET,standard,wika_products_read,group_id,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,categories,/integrations/alibaba/wika/data/categories/tree,GET,standard,wika_categories_read,,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,categories,/integrations/alibaba/wika/data/categories/attributes,GET,standard,wika_categories_read,cat_id,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,products,/integrations/alibaba/wika/data/products/schema,GET,standard,wika_products_read,cat_id,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
WIKA,stage20_phase1,products,/integrations/alibaba/wika/data/products/schema/render,GET,standard,wika_products_read,cat_id | product_id,n/a,n/a,validated_route,docs/framework/WIKA_已上线能力复用清单.md,inherited_from_global_precheck,,TimeoutError,exception(The operation was aborted due to timeout),8004,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8012,BLOCKED_ENV,,TimeoutError,exception(The operation was aborted due to timeout),8009,BLOCKED_ENV,BLOCKED_ENV,railway_production_unavailable,Recover production health before route-by-route replay.
